0,1,2,3,4,5,6,7,maxval
32.75,5.08,39,44.48,32.68,5.08,39.13,44.48,44.48
56.2,10.09,73.29,73.45,42.79,4.57,50.26,11.33,73.45
71.96,13.31,110.19,104.86,59.58,5.64,71.21,14.19,110.19
70.17,16.22,88.21,74.33,50.9,5.24,69.61,13.97,88.21
79.91,16.72,96.05,75.92,51.76,5.22,72.1,14.06,96.05
93.29,17.17,108.87,77.67,51.81,5.25,73.86,13.85,108.87
117.3,14.16,118.78,63.94,46.08,4.72,74.62,14.07,118.78
119.09,17.43,123.21,77.85,52.44,5.26,74.5,13.92,123.21
19.48,15.47,38,54.97,19.47,15.47,37.98,54.95,54.97
43.21,30.18,72.49,92.47,36.97,14.93,28.7,11.73,92.47
82.69,44.86,131.67,124.52,55.49,18.93,40.7,14.67,131.67
100.46,48.39,125.4,128.01,82.4,16.03,42.14,14.41,128.01
137.6,50.16,140.36,134.64,95.99,15.99,43.17,14.53,140.36
181.15,50.37,174.99,116.88,101.5,16.11,45.14,14.58,181.15
219.71,42.57,212.62,97.24,91.74,15.42,46,14.64,219.71
247.71,50.91,225.01,119.04,109.12,16.13,46.51,14.59,247.71
38.57,11.01,25.61,45.92,38.61,11.42,26.42,46.99,46.99
67.38,22.94,56.4,79.55,45.77,10.4,29.37,13,79.55
104.89,43.47,102.08,123.02,53.78,11.46,33.81,13.08,123.02
134.37,44.68,131.94,129.06,54.69,11.51,37.42,13.07,134.37
165.04,45.42,142.42,126.24,55.97,11.6,39.34,13.1,165.04
208.13,45.55,176.86,106.87,57.34,11.65,39.93,13.13,208.13
265.2,38.46,245.36,92.56,57.04,11.65,41.07,13.09,265.2
290.66,45.5,252.03,106.01,57.9,11.65,40.56,13.14,290.66
35.2,10.97,23.95,43.4,35.12,10.96,23.91,43.45,43.45
56.63,21.66,48,71.57,43.65,11.63,28.84,12.82,71.57
98.88,42.82,96.82,115.65,56.04,11.96,31.49,12.92,115.65
131.93,44.68,130.18,129.4,58.48,11.93,34.72,12.91,131.93
167.12,45.67,142.69,127.37,58.74,11.94,37.25,12.96,167.12
209.18,45.33,176.96,107.66,60,12.05,38.07,13,209.18
264.85,38.23,238.63,94.68,60.14,11.96,38.94,12.95,264.85
271.47,45.14,244.33,108.75,60.65,12.05,38.7,12.99,271.47
25.12,99.72,2.5,67.48,25.16,99.76,2.5,67.5,99.76
86.27,189.34,5.29,129.02,24.25,101.26,2.45,14.03,189.34
207.43,340.12,18.15,215.5,24.46,101.7,2.41,14.03,340.12
353.17,386.83,114.76,210.72,24.82,101.88,2.39,13.94,386.83
553.11,333.7,199.17,192.09,25.06,101.99,2.38,13.94,553.11
661.44,240.59,285.82,156.06,25.17,102.04,2.37,13.94,661.44
1237.24,240.87,597.81,157.86,25.18,102.09,2.36,14.04,1237.24
1408.78,239.53,601.21,155.5,25.26,102.08,2.36,13.94,1408.78
34.58,45.62,4.2,58.35,34.86,51.34,4.2,58.34,58.35
